code,name,rights_month,rights_date,yuutai_genre,yuutai_content,min_investment
9632,各種ギフトカードを贈る企業一覧,1,2025-01-31,その他,,0
7683,ダブルエー,1,2025-01-31,その他,"自社製品の詰め合わせ（1,200円相当～）など",173200
9636,きんえい,1,2025-01-31,金券・ギフト,"QUOカード（1,000円相当～）",226400
8013,ナイガイ,1,2025-01-31,その他,"自社製品（3,000円相当）",118400
3320,クロスプラス,1,2025-01-31,買物券・プリペイドカード,"自社サイトで使える「お買い物eクーポン」（1,000円相当～）",85400
7097,さくらさくプラス,1,2025-01-31,金券・ギフト,"QUOカード（4,000円相当～）",278300
6654,不二電機工業,1,2025-01-31,買物券・プリペイドカード,"「フォションホテル京都」のほか、グループ施設で使える優待宿泊割引券（2,500円相当～）",220000
3463,いちごホテルリート投資法人,1,2025-01-31,金券・ギフト,"自社グループ通販サイト「よかもーる」で使えるポイント（5,000円相当）",883700
9166,GENDA,1,2025-01-31,買物券・プリペイドカード,"「チムニー」のほか、グループ店舗で使えるか優待食事割引券（3,000円相当～）など",117600
3193,レストランの食事,1,2025-01-31,その他,,0
7590,タカショー,1,2025-01-31,その他,"北海道の特産品（3,000円相当）など",838000
2590,ダイドーグループホールディングス,1,2025-01-31,買物券・プリペイドカード,"「コトブキヤ」で使える優待買物割引券（2,000円相当～）など",165900
3169,ミサワ,1,2025-01-31,金券・ギフト,"QUOカード（5,000円相当）など",134700
3071,ストリーム,1,2025-01-31,買物券・プリペイドカード,"「餃子の王将」で使える優待食事割引券（2,000円相当～）",337000
1433,ベステラ,1,2025-01-31,その他,"洗剤セット（3,000円相当）",391000
2997,QUOカードを贈る企業一覧,1,2025-01-31,その他,,0
2424,ブラス,1,2025-01-31,金券・ギフト,"QUOカード（1,000円相当）",103400
8142,トーホー,1,2025-01-31,金券・ギフト,"「プレミアム優待倶楽部」の優待ポイント（1,500円相当～）",504000
7674,NATTY SWANKYホールディングス,1,2025-01-31,食品,"自社商品（1,000円相当～）",182100
3172,ティーライフ,1,2025-01-31,買物券・プリペイドカード,"自社商品との引き換えや購入に使えるクーポン（10,000円相当）",150000
9262,シルバーライフ,1,2025-01-31,金券・ギフト,"QUOカード（1,000円相当）",118900
2353,日本駐車場開発,1,2025-01-31,買物券・プリペイドカード,"「喫茶ルノアール」のほか、グループ店舗で使える優待食事割引券（1,000円相当～）",92800
3662,エイチームホールディングス,1,2025-01-31,その他,"東北地方の特産品（1,000円相当～）",99600
3193,エターナルホスピタリティグループ,1,2025-01-31,その他,"「トレジャーファクトリー」のほか、グループ店舗で使えるトレジャーチケット（1,000円相当～）など",167400
7614,オーエムツーネットワーク,1,2025-01-31,金券・ギフト,"QUOカード（2,000円相当～）など",566000
8617,光世証券,1,2025-01-31,その他,ジェフグルメカード（500円相当～）など,265000
8609,岡三証券グループ,1,2025-01-31,金券・ギフト,"QUOカード（2,000円相当～）",327300
3070,ジェリービーンズグループ,1,2025-01-31,その他,"自社取扱商品（2,000円相当～）など",709000
